Cm C/A;Vol Sum;Desplazamiento;KC;MaestraC;KMT;MaestraF;TC (1.025);TC=1;Mu
3,0376;7209,9473;7390,1960;1,5815;-3,3668;15,3483;-3,0223;26,4293;25,7846;203,5416
3,0600;7267,8398;7449,5358;1,5933;-3,3640;15,2693;-3,0172;26,5302;25,8831;203,7857
3,0800;7319,6355;7502,6264;1,6038;-3,3615;15,1995;-3,0128;26,5441;25,8967;204,0019
3,1000;7371,4575;7555,7439;1,6144;-3,3589;15,1307;-3,0083;26,5578;25,9100;204,2160
3,1200;7423,3054;7608,8881;1,6250;-3,3564;15,0628;-3,0038;26,5713;25,9232;204,4282
3,1400;7475,1789;7662,0584;1,6355;-3,3539;14,9957;-2,9994;26,5846;25,9362;204,6385
3,1600;7527,0776;7715,2546;1,6461;-3,3513;14,9295;-2,9949;26,5976;25,9489;204,8469
3,1800;7579,0012;7768,4762;1,6566;-3,3488;14,8641;-2,9905;26,6105;25,9615;205,0536
3,2000;7630,9492;7821,7229;1,6671;-3,3462;14,7994;-2,9860;26,6232;25,9738;205,2585
3,2200;7682,9213;7874,9943;1,6777;-3,3437;14,7356;-2,9816;26,6357;25,9860;205,4616
3,2400;7734,9172;7928,2901;1,6882;-3,3411;14,6725;-2,9772;26,6480;25,9980;205,6632
3,2600;7786,9366;7981,6100;1,6988;-3,3386;14,6101;-2,9727;26,6601;26,0098;205,8631
3,2800;7838,9791;8034,9535;1,7093;-3,3360;14,5484;-2,9683;26,6720;26,0215;206,0614
3,3000;7891,0444;8088,3205;1,7198;-3,3335;14,4875;-2,9638;26,6838;26,0330;206,2583
3,3200;7943,1322;8141,7105;1,7303;-3,3310;14,4272;-2,9594;26,6954;26,0443;206,4537
3,3400;7995,2422;8195,1232;1,7409;-3,3284;14,3675;-2,9550;26,7068;26,0554;206,6477
3,3600;8047,3740;8248,5584;1,7514;-3,3259;14,3086;-2,9505;26,7181;26,0664;206,8404
3,3800;8099,5275;8302,0157;1,7619;-3,3233;14,2502;-2,9460;26,7292;26,0773;207,0317
3,4000;8151,7024;8355,4949;1,7724;-3,3208;14,1925;-2,9416;26,7401;26,0879;207,2218
3,4200;8203,8982;8408,9957;1,7830;-3,3182;14,1354;-2,9371;26,7510;26,0985;207,4107
3,4400;8256,1149;8462,5177;1,7935;-3,3157;14,0789;-2,9326;26,7616;26,1089;207,5985
3,4600;8308,3520;8516,0608;1,8040;-3,3131;14,0229;-2,9280;26,7721;26,1192;207,7851
3,4800;8360,6094;8569,6246;1,8145;-3,3106;13,9676;-2,9235;26,7825;26,1293;207,9707
3,5000;8412,8868;8623,2090;1,8250;-3,3080;13,9128;-2,9189;26,7928;26,1393;208,1553
3,5200;8465,1840;8676,8136;1,8355;-3,3055;13,8585;-2,9143;26,8029;26,1492;208,3390
3,5400;8517,5007;8730,4382;1,8460;-3,3030;13,8048;-2,9097;26,8129;26,1589;208,5217
3,5600;8569,8367;8784,0827;1,8565;-3,3004;13,7516;-2,9051;26,8228;26,1686;208,7036
